Index,Time,ax,ay,(((drivers.opticalFlow).processedMessage).payload).distance,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_x,(((drivers.opticalFlow).processedMessage).payload).optical_flow_vel_y,(initPos).x,(initPos).y
92,0.919973,0.00987224653,0.00396807259,73,0,0,-0.100118667,0.393913925
93,0.930000,-0.00449296413,-0.0175797436,73,0,0,-0.100118667,0.393913925
94,0.939990,-0.00688716583,0.00636227429,74,-80,60,-0.100710653,0.394357979
95,0.949993,0.0433910713,0.049457904,74,-80,60,-0.101302639,0.394802034
96,0.960010,-0.0116755692,0.039881099,72,-160,20,-0.102454647,0.394945979
97,0.969998,-0.0116755692,0.0159390811,72,-160,20,-0.103606656,0.395089924
98,0.980014,0.0362084657,0.0183332823,73,0,-140,-0.103606656,0.394067854
99,0.989997,0.00268964097,-0.00560873421,73,0,-140,-0.103606656,0.393045783
100,0.999989,0.0242374558,-0.00082033081,72,-60,0,-0.104038641,0.393045783
101,1.009993,0.00268964097,-0.0199739449,72,-60,0,-0.104470626,0.393045783
102,1.019998,0.0218432546,-0.0247623473,72,-120,100,-0.105334632,0.393765807
103,1.030019,0.0362084657,-0.0319449529,72,-120,100,-0.106198639,0.394485831
104,1.039992,-0.0212523751,-0.0103971381,72,0,0,-0.106198639,0.394485831
105,1.050093,0.00268964097,-0.0415217616,72,0,0,-0.106198639,0.394485831
106,1.059993,0.00268964097,-0.00800293591,72,0,0,-0.106198639,0.394485831
107,1.070017,-0.00209876243,-0.0199739449,72,0,0,-0.106198639,0.394485831
108,1.079993,-0.0308291819,0.00636227429,72,220,-100,-0.104614645,0.393765807
109,1.090011,0.000295439298,0.00636227429,72,220,-100,-0.103030652,0.393045783
110,1.100011,0.000295439298,-0.00560873421,73,100,0,-0.102300644,0.393045783
111,1.110019,0.000295439298,-0.0247623473,73,100,0,-0.101570636,0.393045783
112,1.119992,-0.0236465782,0.0255158879,73,0,-20,-0.101570636,0.392899752
113,1.130013,0.0122664478,0.0255158879,73,0,-20,-0.101570636,0.39275372
114,1.140019,-0.00688716583,0.00875647552,72,0,-20,-0.101570636,0.392609775
115,1.149992,-0.0236465782,-0.00082033081,72,0,-20,-0.101570636,0.39246583
116,1.159997,-0.0308291819,-0.0223681461,70,0,-20,-0.101570636,0.392325759
117,1.169993,0.0314200632,0.0111506777,70,0,-20,-0.101570636,0.392185688
118,1.179998,-0.00688716583,-0.0415217616,68,0,0,-0.101570636,0.392185688
119,1.189992,-0.00209876243,-0.0247623473,68,0,0,-0.101570636,0.392185688
120,1.200018,-0.00209876243,-0.0127913393,68,0,0,-0.101570636,0.392185688
121,1.209994,-0.00688716583,0.00636227429,68,0,0,-0.101570636,0.392185688
122,1.220010,-0.0404059887,0.0231216867,68,0,0,-0.101570636,0.392185688
123,1.230015,0.0218432546,0.00157387089,68,0,0,-0.101570636,0.392185688
124,1.239995,-0.0236465782,0.0111506777,69,0,0,-0.101570636,0.392185688
125,1.249990,-0.0164639726,0.0255158879,69,0,0,-0.101570636,0.392185688
126,1.260018,-0.0332233831,0.0159390811,68,20,20,-0.101434626,0.392321736
127,1.269997,0.00268964097,0.0159390811,68,20,20,-0.101298615,0.392457783
128,1.280014,-0.00449296413,0.0207274836,68,-20,0,-0.101434626,0.392457783
